city,company_addr,company_industry,company_name,create_time,day_salary,district,job_direction,job_edu,job_exp,job_name,month_salary,publish_man,publish_man_post,publish_time,retain1,retain2,retain3,retain4,source,update_time,url
北京,海淀区,"移动互联网,数据服务",北京字节跳动科技有限公司,,,海淀区,6,本科,不限,数据挖掘实习生,3k-6k,字节跳动,字节跳动,2018-11-08 10:18:19,,,,,拉勾网,,https://www.lagou.com/jobs/5177455.html
北京,朝阳区,"企业服务,数据服务",北京数美时代科技有限公司,,,朝阳区,6,硕士,应届毕业生,数据挖掘实习生,3k-6k,数美,数美,2018-11-08 10:28:15,,,,,拉勾网,,https://www.lagou.com/jobs/3397898.html
北京,朝阳区,"移动互联网,教育",光合新知（北京）科技有限公司,,,朝阳区,6,本科,应届毕业生,数据挖掘实习生,3k-5k,洋葱数学,洋葱数学,2018-11-08 18:05:30,,,,,拉勾网,,https://www.lagou.com/jobs/5250040.html
北京,朝阳区,"数据服务,信息安全",威讯柏睿数据科技（北京）有限公司,,,朝阳区,6,硕士,应届毕业生,数据挖掘工程师（实习）,8k-15k,柏睿数据,柏睿数据,2018-11-06 10:13:15,,,,,拉勾网,,https://www.lagou.com/jobs/5045700.html
北京,朝阳区,"移动互联网,数据服务",北京泓钧科技有限公司,,,朝阳区,6,本科,应届毕业生,数据挖掘实习生,5k-6k,泓钧科技,泓钧科技,2018-11-07 14:24:15,,,,,拉勾网,,https://www.lagou.com/jobs/4826815.html
北京,海淀区,"移动互联网,数据服务",百度在线网络技术（北京）有限公司,,,海淀区,6,本科,不限,机器学习/数据挖掘实习生,2k-4k,百度,百度,2018-11-07 13:44:25,,,,,拉勾网,,https://www.lagou.com/jobs/5280603.html
北京,朝阳区,移动互联网,时趣互动（北京）科技有限公司,,,朝阳区,6,本科,不限,2018校招-数据挖掘工程师（可实习）,3k-5k,时趣social-touch,时趣social-touch,2018-11-08 17:45:24,,,,,拉勾网,,https://www.lagou.com/jobs/3901990.html
北京,朝阳区,移动互联网,一点网聚科技有限公司,,,朝阳区,6,本科,不限,数据挖掘实习生【算法】,4k-5k,一点资讯,一点资讯,2018-11-05 15:34:23,,,,,拉勾网,,https://www.lagou.com/jobs/5291346.html
北京,海淀区,"移动互联网,文化娱乐",北京秒帧科技发展有限公司,,,海淀区,6,本科,不限,数据挖掘实习生,5k-10k,秒帧TV,秒帧TV,2018-11-07 12:16:27,,,,,拉勾网,,https://www.lagou.com/jobs/4146091.html
北京,海淀区,移动互联网,第四范式（北京）技术有限公司,,,海淀区,6,硕士,应届毕业生,数据挖掘实习生,7k-10k,第四范式,第四范式,2018-11-07 15:03:22,,,,,拉勾网,,https://www.lagou.com/jobs/4702837.html
北京,西城区,"移动互联网,医疗健康",北京康夫子科技有限公司,,,西城区,6,本科,应届毕业生,自然语言处理/数据挖掘/深度学习工程师（实习生）,4k-6k,康夫子,康夫子,2018-10-29 15:42:44,,,,,拉勾网,,https://www.lagou.com/jobs/4490157.html
北京,朝阳区,"移动互联网,O2O",北京怡合春天科技有限公司,,,朝阳区,6,本科,应届毕业生,数据挖掘工程师实习生,3k-5k,本木医疗,本木医疗,2018-10-23 17:02:28,,,,,拉勾网,,https://www.lagou.com/jobs/5237826.html
北京,朝阳区,"移动互联网,文化娱乐",北京猫眼文化传媒有限公司,,,朝阳区,6,本科,不限,【实习生】机器学习、数据挖掘算法工程师,4k-6k,猫眼电影,猫眼电影,2018-11-06 09:56:45,,,,,拉勾网,,https://www.lagou.com/jobs/3337701.html
